Application name, Spoken forms, Exclude, Unique Id, Path, Executable Name
Visual Studio Installer,None,False,Microsoft.VisualStudio.Installer,C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe,setup.exe
Voice Recorder,None,False,Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App,None,None
Weather,None,False,Microsoft.BingWeather_8wekyb3d8bbwe!App,None,None
Windows Administrative Tools,None,False,Microsoft.Windows.AdministrativeTools,None,None
Windows App Cert Kit,None,False,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\App Certification Kit\appcertui.exe,C:\Program Files (x86)\Windows Kits\10\App Certification Kit\appcertui.exe,appcertui.exe
Windows Backup,None,False,MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup,None,None
Windows Fax and Scan,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WFS.exe,C:\Windows\System32\WFS.exe,WFS.exe
Windows Media Player,None,False,Microsoft.Windows.MediaPlayer32,C:\Program Files (x86)\Windows Media Player\wmplayer.exe,wmplayer.exe
Windows Memory Diagnostic,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe,C:\Windows\System32\MdSched.exe,MdSched.exe
Windows PowerShell,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
Windows PowerShell (x86),None,False,{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
Windows PowerShell ISE,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe,PowerShell_ISE.exe
Windows PowerShell ISE (x86),None,False,{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell_ise.exe,PowerShell_ISE.exe
Windows Security,None,False,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI,None,None
Windows Software Development Kit,None,False,Microsoft.AutoGenerated.{3B6E7DF3-19A3-70DB-96F6-86E65A17E61C},C:\Windows\explorer.exe,explorer.exe
Windows Speech Recognition,None,False,Microsoft.AutoGenerated.{DAA168DE-4306-C8BC-8C11-B596240BDDED},None,None
WordPad,None,False,{6D809377-6AF0-444B-8957-A3773F02200E}\Windows NT\Accessories\wordpad.exe,C:\Program Files\Windows NT\Accessories\wordpad.exe,wordpad.exe
Xbox Console Companion,None,False,Microsoft.XboxApp_8wekyb3d8bbwe!Microsoft.XboxApp,None,None
https   app.slack.com client T7FPSMV8F C7EK0P (1),None,False,Chrome._crx_hafhbkblfadkejebjfcikcjooa,C:\Program Files\Google\Chrome\Application\chrome_proxy.exe,chrome_proxy.exe
iSCSI Initiator,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\iscsicpl.exe,C:\Windows\System32\iscsicpl.exe,iscsicpl.exe
iTunes,None,False,AppleInc.iTunes_nzyj5cx40ttqa!iTunes,None,None
nvm,None,False,C:\Users\knaus\AppData\Roaming\nvm\nvm.exe,C:\Users\knaus\AppData\Roaming\nvm\nvm.exe,nvm.exe
playAbility,None,True,com.windows.playability,C:\Users\knaus\AppData\Local\Programs\playability\playAbility.exe,playAbility.exe
win-vind,None,True,{6D809377-6AF0-444B-8957-A3773F02200E}\win-vind\win-vind.exe,C:\Program Files\win-vind\win-vind.exe,win-vind.exe
x64 Native Tools Command Prompt for VS 2022,None,True,Microsoft.AutoGenerated.{86997D92-2F6B-FCAF-C97C-27F79546CA7C},C:\Windows\System32\cmd.exe,cmd.exe
x64_x86 Cross Tools Command Prompt for VS 2022,None,True,Microsoft.AutoGenerated.{B1331350-92CB-D6D9-9045-4BA3E2200EEE},C:\Windows\System32\cmd.exe,cmd.exe
x86 Native Tools Command Prompt for VS 2022,None,True,Microsoft.AutoGenerated.{D6D9FF0A-6368-3A66-8FA9-231D085436D4},C:\Windows\System32\cmd.exe,cmd.exe
x86_x64 Cross Tools Command Prompt for VS 2022,None,True,Microsoft.AutoGenerated.{F7F1CEA8-372E-3932-F0A7-1BF7F475590A},C:\Windows\System32\cmd.exe,cmd.exe
• Discord   Friends - https   discord.com channels @me - https   discord.com (1),discord,False,Chrome._crx_magkoliahgfkmoealggombgknl,C:\Program Files\Google\Chrome\Application\chrome_proxy.exe,chrome_proxy.exe
